[2018-07-25 20:08:05] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:05] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:05] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:05] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:06] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:06] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:06] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:06] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:06] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:06] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:06] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:06] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:06] servers/wechatProcess.py 78 qrCallback [INFO] msg:Log in time out, reloading QR code. MainThread-3632 pid:6564
[2018-07-25 20:08:06] servers/wechatProcess.py 62 qrCallback [INFO] msg:Please scan the QR code to log in MainThread-3632 pid:6564
[2018-07-25 20:08:32] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:32] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
[2018-07-25 20:08:32] servers/wechatProcess.py 70 qrCallback [INFO] msg:confirm on phone MainThread-3632 pid:6564
